shipment_id,order_id,order_purchase_date,delivered_customer_date,estimated_delivery_date,warehouse_id,warehouse_name,carrier_id,carrier_name,category_name,sla_tier,actual_delivery_days,estimated_delivery_days,sla_target_days,delay_days,sla_breach_flag,real_late_delivery_flag,issue_type,quality_issue_flag,anomaly_flag
ship_1e43c5d72ad6fada7f0db1ca30ea0ab9,1e43c5d72ad6fada7f0db1ca30ea0ab9,2018-04-01,2018-04-24,2018-04-27,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,automotivo,standard,23,26,5,0,true,false,none,false,none
ship_1fbebbbba3149f89e410951ca531cae2,1fbebbbba3149f89e410951ca531cae2,2018-04-01,2018-04-13,2018-04-23,WH_SOUTH,South FC,CAR_C,Carrier C,fashion_bolsas_e_acessorios,fast,12,22,3,0,true,false,none,false,none
ship_20834ef6941f038baa2ad303dc1db413,20834ef6941f038baa2ad303dc1db413,2018-04-01,2018-04-11,2018-04-23,WH_SOUTH,South FC,CAR_B,Carrier B,relogios_presentes,fast,10,22,3,0,true,false,none,false,none
ship_2292fcf4509e47c46e20904e756678d3,2292fcf4509e47c46e20904e756678d3,2018-04-01,2018-04-07,2018-04-18,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,esporte_lazer,standard,6,17,5,0,true,false,damaged,true,none
ship_23d0c6798618d5bfc02a9d517e79a641,23d0c6798618d5bfc02a9d517e79a641,2018-04-01,2018-04-04,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,alimentos,standard,3,11,5,0,false,false,none,false,none
ship_24dd6883219c3c70aa4d84d059d279a0,24dd6883219c3c70aa4d84d059d279a0,2018-04-01,2018-04-21,2018-05-03,WH_SOUTH,South FC,CAR_D,Carrier D,relogios_presentes,fast,20,32,3,0,true,false,none,false,none
ship_251de75257803bd25352975324ff2c64,251de75257803bd25352975324ff2c64,2018-04-01,2018-04-06,2018-04-18,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,utilidades_domesticas,standard,5,17,5,0,false,false,damaged,true,ANOM_SPIKE_001
ship_26b5660725133bc74bfe584874b637cc,26b5660725133bc74bfe584874b637cc,2018-04-01,2018-04-04,2018-04-23,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,malas_acessorios,standard,3,22,5,0,false,false,none,false,none
ship_304979f072f7041aca154907e01172c4,304979f072f7041aca154907e01172c4,2018-04-01,2018-04-10,2018-04-18,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,automotivo,standard,9,17,5,0,true,false,none,false,ANOM_SPIKE_001
ship_32c028ae9ea23ed2b32e239ed6b672ee,32c028ae9ea23ed2b32e239ed6b672ee,2018-04-01,2018-04-05,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,utilidades_domesticas,standard,4,11,5,0,false,false,none,false,ANOM_SPIKE_001
ship_32de90a35e2a57a276be3e36d3c51ed2,32de90a35e2a57a276be3e36d3c51ed2,2018-04-01,2018-04-10,2018-04-30,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,informatica_acessorios,fast,9,29,3,0,true,false,missing,true,none
ship_3311b1573fa138150d43e80f46c7d1cb,3311b1573fa138150d43e80f46c7d1cb,2018-04-01,2018-04-14,2018-04-27,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,moveis_escritorio,bulky,13,26,8,0,true,false,none,false,none
ship_37362a3c12684efebab6305210e3bc06,37362a3c12684efebab6305210e3bc06,2018-04-01,2018-04-13,2018-04-19,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,bebidas,standard,12,18,5,0,true,false,missing,true,ANOM_SPIKE_001
ship_388d683431db37774946413cbb22210b,388d683431db37774946413cbb22210b,2018-04-01,2018-04-05,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,unknown,standard,4,11,5,0,false,false,none,false,none
ship_390e5f12e01c2af04027580e4cdde515,390e5f12e01c2af04027580e4cdde515,2018-04-01,2018-04-23,2018-04-24,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,relogios_presentes,fast,22,23,3,0,true,false,none,false,none
ship_3b253446924d20b4bb7220dfa7c68149,3b253446924d20b4bb7220dfa7c68149,2018-04-01,2018-04-12,2018-04-30,WH_SOUTH,South FC,CAR_B,Carrier B,cama_mesa_banho,bulky,11,29,8,0,true,false,none,false,none
ship_3b403954bc51826b0abdd90bcf1e379a,3b403954bc51826b0abdd90bcf1e379a,2018-04-01,2018-04-06,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,moveis_decoracao,bulky,5,11,8,0,false,false,none,false,none
ship_3b81c43a73c516855c1f690e280e3466,3b81c43a73c516855c1f690e280e3466,2018-04-01,2018-04-05,2018-04-13,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,utilidades_domesticas,standard,4,12,5,0,false,false,none,false,ANOM_SPIKE_001
ship_3bf4ed8507baa998f5cbeb2e65d6e6f8,3bf4ed8507baa998f5cbeb2e65d6e6f8,2018-04-01,2018-04-09,2018-04-24,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,fashion_bolsas_e_acessorios,fast,8,23,3,0,true,false,none,false,ANOM_SPIKE_001
ship_3c0a214a5ba7ab90427502f4d578b659,3c0a214a5ba7ab90427502f4d578b659,2018-04-01,2018-04-11,2018-05-15,WH_SOUTH,South FC,CAR_D,Carrier D,eletrodomesticos,bulky,10,44,8,0,true,false,none,false,none
ship_3cea94817a51f34aa5937784fb4a3219,3cea94817a51f34aa5937784fb4a3219,2018-04-01,2018-04-06,2018-04-19,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,beleza_saude,fast,5,18,3,0,true,false,none,false,none
ship_3d7de5d37ece096e7130ead701ee9951,3d7de5d37ece096e7130ead701ee9951,2018-04-01,2018-04-24,2018-05-02,WH_SOUTH,South FC,CAR_C,Carrier C,relogios_presentes,fast,23,31,3,0,true,false,failed,true,none
ship_3f6484ca65eed5c701aa5e348623537f,3f6484ca65eed5c701aa5e348623537f,2018-04-01,2018-05-06,2018-04-20,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,beleza_saude,fast,35,19,3,16,true,true,none,false,none
ship_3feb755ea67c811b8216af69e346e07c,3feb755ea67c811b8216af69e346e07c,2018-04-01,2018-04-03,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,bebes,standard,2,11,5,0,false,false,none,false,none
ship_410ff79f9ba04f27006e7f6123bf486c,410ff79f9ba04f27006e7f6123bf486c,2018-04-01,2018-04-11,2018-04-30,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,utilidades_domesticas,standard,10,29,5,0,true,false,none,false,none
ship_44aa65e291ac11fe59f9f4b622c408c8,44aa65e291ac11fe59f9f4b622c408c8,2018-04-01,2018-04-17,2018-04-20,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,esporte_lazer,standard,16,19,5,0,true,false,wrong,true,ANOM_SPIKE_001
ship_456ed1919e7baeb18f95d9c1ab8d2cca,456ed1919e7baeb18f95d9c1ab8d2cca,2018-04-01,2018-04-10,2018-04-18,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,ferramentas_jardim,bulky,9,17,8,0,true,false,refund,true,none
ship_4783ae8bbe76b7f392dcc84c1e17d052,4783ae8bbe76b7f392dcc84c1e17d052,2018-04-01,2018-04-04,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,eletroportateis,standard,3,11,5,0,false,false,none,false,none
ship_47c7065d871347ee5eecfddf704fb767,47c7065d871347ee5eecfddf704fb767,2018-04-01,2018-04-09,2018-04-23,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,esporte_lazer,standard,8,22,5,0,true,false,none,false,none
ship_47e1801bc1f8eddb9969bf5fd8563712,47e1801bc1f8eddb9969bf5fd8563712,2018-04-01,2018-04-07,2018-04-25,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,moveis_decoracao,bulky,6,24,8,0,false,false,none,false,none
ship_4b831e2d8329f605574def6a9e47d65f,4b831e2d8329f605574def6a9e47d65f,2018-04-01,2018-04-16,2018-05-04,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,brinquedos,standard,15,33,5,0,true,false,wrong,true,none
ship_4f76b593a77720e6048225aa1705761e,4f76b593a77720e6048225aa1705761e,2018-04-01,2018-04-13,2018-04-25,WH_CENTRAL_WEST,Central-West FC,CAR_D,Carrier D,telefonia,fast,12,24,3,0,true,false,none,false,none
ship_5297250ba3bfb18713834a6b28d6725d,5297250ba3bfb18713834a6b28d6725d,2018-04-01,2018-04-05,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,utilidades_domesticas,standard,4,11,5,0,false,false,none,false,ANOM_SPIKE_001
ship_546f64a5981ba2d29b0a43a6ab6da440,546f64a5981ba2d29b0a43a6ab6da440,2018-04-01,2018-04-07,2018-04-18,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,relogios_presentes,fast,6,17,3,0,true,false,none,false,none
ship_54f621bc447961fb6ab19031f7f3051b,54f621bc447961fb6ab19031f7f3051b,2018-04-01,2018-04-07,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,ferramentas_jardim,bulky,6,11,8,0,false,false,missing,true,ANOM_SPIKE_001
ship_5598657697983e852a752bb7c10f4d01,5598657697983e852a752bb7c10f4d01,2018-04-01,2018-04-19,2018-04-19,WH_CENTRAL_WEST,Central-West FC,CAR_C,Carrier C,eletronicos,fast,18,18,3,0,true,false,none,false,none
ship_58215b0c6543fc7be2557b0defb786d1,58215b0c6543fc7be2557b0defb786d1,2018-04-01,2018-04-05,2018-04-17,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,telefonia,fast,4,16,3,0,true,false,damaged,true,ANOM_SPIKE_001
ship_5a40a4c413dcda147caa00259a1732de,5a40a4c413dcda147caa00259a1732de,2018-04-01,2018-04-04,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,perfumaria,fast,3,11,3,0,false,false,none,false,ANOM_SPIKE_001
ship_5ac6fb158e2f86376ad4f890ab300aad,5ac6fb158e2f86376ad4f890ab300aad,2018-04-01,2018-04-03,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,construcao_ferramentas_construcao,bulky,2,11,8,0,false,false,damaged,true,ANOM_SPIKE_001
ship_5decda9958a3cf3836fb5c0d263cebfb,5decda9958a3cf3836fb5c0d263cebfb,2018-04-01,2018-04-12,2018-04-25,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,relogios_presentes,fast,11,24,3,0,true,false,none,false,none
ship_5ecd7af8497c9aeba11b9f0c79c0b466,5ecd7af8497c9aeba11b9f0c79c0b466,2018-04-01,2018-05-08,2018-05-04,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,moveis_decoracao,bulky,37,33,8,4,true,true,refund,true,none
ship_5ed3ec02627cdee4cc803950b95aaf02,5ed3ec02627cdee4cc803950b95aaf02,2018-04-01,2018-05-02,2018-04-19,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,eletroportateis,standard,31,18,5,13,true,true,none,false,none
ship_620b3433404a08b299e50c716866a4d1,620b3433404a08b299e50c716866a4d1,2018-04-01,2018-04-12,2018-04-25,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,cool_stuff,standard,11,24,5,0,true,false,none,false,none
ship_62c0a0e72baba526d6f9c2855f8b6b97,62c0a0e72baba526d6f9c2855f8b6b97,2018-04-01,2018-04-04,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,esporte_lazer,standard,3,11,5,0,false,false,none,false,ANOM_SPIKE_001
ship_66c8850e9f6bc2f81873165c41901706,66c8850e9f6bc2f81873165c41901706,2018-04-01,2018-04-03,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,informatica_acessorios,fast,2,11,3,0,false,false,damaged,true,ANOM_SPIKE_001
ship_66d55d4156f12c0517474cdbf5589c56,66d55d4156f12c0517474cdbf5589c56,2018-04-01,2018-04-17,2018-04-25,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,esporte_lazer,standard,16,24,5,0,true,false,none,false,none
ship_693c482b69198a2297a3b61befcd3890,693c482b69198a2297a3b61befcd3890,2018-04-01,2018-04-10,2018-04-19,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,pet_shop,standard,9,18,5,0,true,false,none,false,none
ship_6bb821f726200115364aae8fe1126ee1,6bb821f726200115364aae8fe1126ee1,2018-04-01,2018-04-12,2018-04-18,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,cama_mesa_banho,bulky,11,17,8,0,true,false,none,false,none
ship_6c949e670b5d33dc8fb8ad25b6da4860,6c949e670b5d33dc8fb8ad25b6da4860,2018-04-01,2018-04-13,2018-04-24,WH_SOUTH,South FC,CAR_A,Carrier A,beleza_saude,fast,12,23,3,0,true,false,none,false,none
ship_6d3c3a50a1334e596c7d23901c33a8c7,6d3c3a50a1334e596c7d23901c33a8c7,2018-04-01,2018-04-03,2018-04-26,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,cama_mesa_banho,bulky,2,25,8,0,false,false,none,false,ANOM_SPIKE_001
ship_6e8cdfac9a1f0a25230f4624a4d707f3,6e8cdfac9a1f0a25230f4624a4d707f3,2018-04-01,2018-05-03,2018-05-24,WH_NORTH,North FC,CAR_B,Carrier B,beleza_saude,fast,32,53,3,0,true,false,none,false,none
ship_6fd39a1adde54d0a5e6fe5ddc6c8784a,6fd39a1adde54d0a5e6fe5ddc6c8784a,2018-04-01,2018-04-19,2018-04-27,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,relogios_presentes,fast,18,26,3,0,true,false,none,false,none
ship_702019955fa998a0414ab1d64a9984e6,702019955fa998a0414ab1d64a9984e6,2018-04-01,2018-04-10,2018-04-20,WH_CENTRAL_WEST,Central-West FC,CAR_C,Carrier C,relogios_presentes,fast,9,19,3,0,true,false,none,false,none
ship_705402bc1d956067338873d414158d09,705402bc1d956067338873d414158d09,2018-04-01,2018-04-30,2018-04-20,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,cama_mesa_banho,bulky,29,19,8,10,true,true,none,false,none
ship_718cb93721e3506215a31dae8d73074a,718cb93721e3506215a31dae8d73074a,2018-04-01,2018-04-24,2018-04-23,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,papelaria,fast,23,22,3,1,true,true,none,false,none
ship_7224bf1a9ae0224f42d0f990890f69e1,7224bf1a9ae0224f42d0f990890f69e1,2018-04-01,2018-04-13,2018-04-27,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,esporte_lazer,standard,12,26,5,0,true,false,none,false,none
ship_72306b6ce07a9860eab715afd663dd73,72306b6ce07a9860eab715afd663dd73,2018-04-01,2018-04-30,2018-05-07,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,utilidades_domesticas,standard,29,36,5,0,true,false,none,false,ANOM_SPIKE_001
ship_73ab3121732a6b5bd3e8ad44c1d81c57,73ab3121732a6b5bd3e8ad44c1d81c57,2018-04-01,2018-05-03,2018-04-20,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,esporte_lazer,standard,32,19,5,13,true,true,none,false,none
ship_7699e05f3c451052397a0248cf24a821,7699e05f3c451052397a0248cf24a821,2018-04-01,2018-04-03,2018-04-16,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,beleza_saude,fast,2,15,3,0,false,false,damaged,true,ANOM_SPIKE_001
ship_77543b2e8e994aa61c15ac854bc7a7d8,77543b2e8e994aa61c15ac854bc7a7d8,2018-04-01,2018-04-09,2018-04-18,WH_SOUTH,South FC,CAR_C,Carrier C,informatica_acessorios,fast,8,17,3,0,true,false,none,false,none
ship_793313d521603b9c7030e6bc60f6c692,793313d521603b9c7030e6bc60f6c692,2018-04-01,2018-04-09,2018-04-18,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,informatica_acessorios,fast,8,17,3,0,true,false,none,false,none
ship_7a63a2feab704e71ea9cf2aba2c7bd10,7a63a2feab704e71ea9cf2aba2c7bd10,2018-04-01,2018-04-11,2018-04-23,WH_SOUTH,South FC,CAR_C,Carrier C,beleza_saude,fast,10,22,3,0,true,false,none,false,none
ship_7aaf9c17ae408e7a639faf0623c5cc73,7aaf9c17ae408e7a639faf0623c5cc73,2018-04-01,2018-04-04,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,telefonia,fast,3,11,3,0,false,false,none,false,none
ship_7bd0fa6cc96710fda7c735ed00b3c018,7bd0fa6cc96710fda7c735ed00b3c018,2018-04-01,2018-04-10,2018-04-23,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,esporte_lazer,standard,9,22,5,0,true,false,damaged,true,ANOM_SPIKE_001
ship_7c6de5f0eea0d2f823e3dc3dc6e3ef4c,7c6de5f0eea0d2f823e3dc3dc6e3ef4c,2018-04-01,2018-04-07,2018-04-19,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,pet_shop,standard,6,18,5,0,true,false,missing,true,ANOM_SPIKE_001
ship_7f1a31c40930c708c3439ddaff502b79,7f1a31c40930c708c3439ddaff502b79,2018-04-01,2018-04-05,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,telefonia,fast,4,11,3,0,true,false,none,false,none
ship_7fa33625c8f2f1261457912cf60077ad,7fa33625c8f2f1261457912cf60077ad,2018-04-01,2018-04-10,2018-04-23,WH_SOUTH,South FC,CAR_A,Carrier A,automotivo,standard,9,22,5,0,true,false,none,false,none
ship_80700def3189230fc60069139112527d,80700def3189230fc60069139112527d,2018-04-01,2018-04-23,2018-04-20,WH_SOUTHEAST,Southeast FC,CAR_D,Carrier D,beleza_saude,fast,22,19,3,3,true,true,none,false,none
ship_80c20223fb6b10d7e541a3cf6c5bf673,80c20223fb6b10d7e541a3cf6c5bf673,2018-04-01,2018-04-17,2018-04-25,WH_SOUTH,South FC,CAR_A,Carrier A,dvds_blu_ray,standard,16,24,5,0,true,false,none,false,none
ship_823e8a998c065938c05f4302610c3a5d,823e8a998c065938c05f4302610c3a5d,2018-04-01,2018-04-10,2018-04-19,WH_SOUTHEAST,Southeast FC,CAR_C,Carrier C,utilidades_domesticas,standard,9,18,5,0,true,false,none,false,none
ship_8336334036e8b201a6013cebe4ef9d07,8336334036e8b201a6013cebe4ef9d07,2018-04-01,2018-04-07,2018-05-09,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,moveis_decoracao,bulky,6,38,8,0,false,false,missing,true,ANOM_SPIKE_001
ship_83a8c8477a4beb1799eeff411ab29c0b,83a8c8477a4beb1799eeff411ab29c0b,2018-04-01,2018-04-03,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,telefonia,fast,2,11,3,0,false,false,none,false,none
ship_8433606149b115b9f6e1916bdbe08dc4,8433606149b115b9f6e1916bdbe08dc4,2018-04-01,2018-04-24,2018-04-26,WH_CENTRAL_WEST,Central-West FC,CAR_C,Carrier C,automotivo,standard,23,25,5,0,true,false,none,false,none
ship_86c2a7e3005f95b5a412d19e1642ff37,86c2a7e3005f95b5a412d19e1642ff37,2018-04-01,2018-04-21,2018-04-30,WH_SOUTH,South FC,CAR_C,Carrier C,esporte_lazer,standard,20,29,5,0,true,false,none,false,none
ship_8907bb31267526a99da12076a84a87b6,8907bb31267526a99da12076a84a87b6,2018-04-01,2018-04-07,2018-04-26,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,eletrodomesticos_2,bulky,6,25,8,0,false,false,none,false,ANOM_SPIKE_001
ship_8a8ff2c8a82c73abed3c70e90953f0b2,8a8ff2c8a82c73abed3c70e90953f0b2,2018-04-01,2018-04-03,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,automotivo,standard,2,11,5,0,false,false,wrong,true,none
ship_8af380f996db86bc8ab5a4c0da0e91ec,8af380f996db86bc8ab5a4c0da0e91ec,2018-04-01,2018-04-10,2018-05-04,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,automotivo,standard,9,33,5,0,true,false,none,false,none
ship_8b56c0315e44af9a56cef82dce0aa443,8b56c0315e44af9a56cef82dce0aa443,2018-04-01,2018-04-09,2018-04-19,WH_CENTRAL_WEST,Central-West FC,CAR_B,Carrier B,unknown,standard,8,18,5,0,true,false,none,false,none
ship_8e47a04b25d7a7075064e8e0bd2e0318,8e47a04b25d7a7075064e8e0bd2e0318,2018-04-01,2018-04-05,2018-04-12,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,beleza_saude,fast,4,11,3,0,true,false,none,false,ANOM_SPIKE_001
ship_8ec58bc9d39789f8d32575cc5ce0cf0c,8ec58bc9d39789f8d32575cc5ce0cf0c,2018-04-01,2018-04-10,2018-04-23,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,perfumaria,fast,9,22,3,0,true,false,none,false,none
ship_8ee92f80d48a27d627bf77accdda8346,8ee92f80d48a27d627bf77accdda8346,2018-04-01,2018-05-03,2018-05-24,WH_NORTH,North FC,CAR_D,Carrier D,papelaria,fast,32,53,3,0,true,false,none,false,none
ship_8f53771a7fcdba0c4033c969cda4724c,8f53771a7fcdba0c4033c969cda4724c,2018-04-01,2018-04-16,2018-04-26,WH_SOUTH,South FC,CAR_B,Carrier B,esporte_lazer,standard,15,25,5,0,true,false,none,false,none
ship_90594e2a39ba4a93cae555437837e9a0,90594e2a39ba4a93cae555437837e9a0,2018-04-01,2018-04-12,2018-05-10,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,relogios_presentes,fast,11,39,3,0,true,false,none,false,ANOM_SPIKE_001
ship_921ccf9b5f8379e9262fabe9b953c55e,921ccf9b5f8379e9262fabe9b953c55e,2018-04-01,2018-05-05,2018-04-20,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,beleza_saude,fast,34,19,3,15,true,true,missing,true,ANOM_SPIKE_001
